UDI,Target
10001,0.8138155555555556
10002,0.3020333333333333
10003,0.17245333333333332
10004,0.572911111111111
10005,0.8463844444444443
10006,0.6675711111111111
10007,0.3594022222222222
10008,0.20803777777777777
10009,0.49038
10010,0.46732666666666667
10011,0.9192355555555555
10012,0.8237266666666666
10013,0.5871244444444446
10014,0.7211533333333334
10015,0.06589333333333335
10016,0.1859533333333334
10017,0.45221111111111106
10018,0.12686555555555554
10019,0.6031866666666666
10020,0.5348644444444446
10021,0.9041533333333334
10022,0.635357777777778
10023,0.5299444444444444
10024,0.6736577777777777
10025,0.7118111111111111
10026,0.036853333333333335
10027,0.5379044444444445
10028,0.5186877777777777
10029,0.41770222222222214
10030,0.3929533333333333
10031,0.32683333333333325
10032,0.4857355555555556
10033,0.44279111111111097
10034,0.05505666666666667
10035,0.46312888888888887
10036,0.7504244444444444
10037,0.23622000000000007
10038,0.6078
10039,0.8454711111111112
10040,0.31278000000000006
10041,0.32503111111111105
10042,0.9062777777777776
10043,0.7329022222222222
10044,0.3794222222222223
10045,0.2740844444444445
10046,0.6855866666666666
10047,0.3183888888888889
10048,0.76316
10049,0.6762688888888889
10050,0.10812777777777778
10051,0.8397844444444447
10052,0.6902466666666666
10053,0.7431066666666668
10054,0.8854177777777775
10055,0.8896822222222222
10056,0.26680444444444446
10057,0.24718444444444446
10058,0.7317266666666667
10059,0.6634688888888887
10060,0.777268888888889
10061,0.054135555555555555
10062,0.4805422222222222
10063,0.8507777777777777
10064,0.42987333333333333
10065,0.6636444444444444
10066,0.5489933333333332
10067,0.6031088888888889
10068,0.16768333333333327
10069,0.5685222222222222
10070,0.6770999999999999
10071,0.08472777777777778
10072,0.7607977777777778
10073,0.16874333333333333
10074,0.5338377777777776
10075,0.5562
10076,0.5569866666666666
10077,0.7671066666666667
10078,0.5857044444444444
10079,0.7807511111111113
10080,0.6554577777777778
10081,0.9252933333333332
10082,0.5689133333333333
10083,0.29995333333333335
10084,0.45890000000000003
10085,0.23125555555555555
10086,0.2340488888888889
10087,0.3220711111111111
10088,0.7990044444444445
10089,0.5732977777777778
10090,0.6484666666666666
10091,0.22898444444444446
10092,0.10999999999999999
10093,0.3332555555555555
10094,0.7382488888888888
10095,0.3082355555555556
10096,0.39032888888888895
10097,0.54828
10098,0.22355111111111112
10099,0.5622777777777778
10100,0.0
10101,0.5950688888888888
10102,0.24770888888888884
10103,0.23927777777777778
10104,0.11596444444444443
10105,0.19586777777777778
10106,0.43736666666666674
10107,0.2734844444444445
10108,0.29894
10109,0.6010022222222221
10110,0.4281644444444444
10111,0.15489
10112,0.5378822222222222
10113,0.6136733333333332
10114,0.8164999999999999
10115,0.04813888888888888
10116,0.649711111111111
10117,0.6167066666666667
10118,0.6667333333333335
10119,0.4092311111111111
10120,0.34730222222222223
10121,0.7642533333333333
10122,0.18116
10123,0.7355511111111112
10124,0.6997711111111111
10125,0.30144
10126,0.2844666666666667
10127,0.7229933333333335
10128,0.44876444444444435
10129,0.8599244444444444
10130,0.51064
10131,0.7667422222222221
10132,0.8205911111111112
10133,0.6363688888888889
10134,0.8602022222222222
10135,0.47785111111111106
10136,0.565151111111111
10137,0.6471066666666667
10138,0.7731577777777779
10139,0.5065977777777778
10140,0.29338777777777775
10141,0.1340333333333333
10142,0.8112
10143,0.31953111111111115
10144,0.7560133333333333
10145,0.6352522222222223
10146,0.8480911111111111
10147,0.2677955555555555
10148,0.7056044444444445
10149,0.8406044444444446
10150,0.3977688888888889
10151,0.4157555555555556
10152,0.2714244444444444
10153,0.19621333333333335
10154,0.12374777777777778
10155,0.3804933333333333
10156,0.06585555555555556
10157,0.23809777777777782
10158,0.847642222222222
10159,0.1301677777777778
10160,0.7444177777777777
10161,0.5998933333333333
10162,0.43439999999999995
10163,0.6871066666666666
10164,0.8256733333333331
10165,0.586331111111111
10166,0.9007422222222222
10167,0.34000888888888897
10168,0.30262666666666665
10169,0.6629066666666665
10170,0.2940555555555555
10171,0.11205555555555556
10172,0.41083333333333333
10173,0.36606888888888894
10174,0.779611111111111
10175,0.6488622222222222
10176,0.10478666666666665
10177,0.7624733333333333
10178,0.33569555555555564
10179,0.15941333333333338
10180,0.7086377777777778
10181,0.5608244444444445
10182,0.6296355555555556
10183,0.7387644444444446
10184,0.43537333333333345
10185,0.06188888888888888
10186,0.11765444444444444
10187,0.06042666666666666
10188,0.3857911111111112
10189,0.5507111111111112
10190,0.38468888888888886
10191,0.8630133333333333
10192,0.46736000000000005
10193,0.17316444444444445
10194,0.22786555555555554
10195,0.40083777777777785
10196,0.1350733333333333
10197,0.12917777777777775
10198,0.3397511111111111
10199,0.4394911111111111
10200,0.09194888888888887
10201,0.7027711111111111
10202,0.7369022222222222
10203,0.3774244444444444
